Objetivo_PAA,Linea,Descripcion_Objetivo
1A,1,Maximitzar l'èxit acadèmic en l'FP inicial
1B,1,Maximitzar la satisfacció de la comunitat educativa de la FP inicial en l'activitat docent
1C,1,Fer unes pràctiques de qualitat (FCT i Dual)
1D,1,Maximitzar la inserció laboral en l'FP inicial
2A,2,Maximitzar l'èxit acadèmic en l'FP no inicial
2B,2,Maximitzar la inserció laboral en l'FP per a l'ocupació
2C,2,Maximitzar la satisfacció de la comunitat educativa de la FP no incicial
2D,2,Iniciar la formació contínua
3A,3,Desenvolupar procediments d'acreditació i certificació de la competència professional
3B,3,Millorar l'orientació cap a la formació professional
4A,4,Potenciar la cultura de la  innovació
4B,4,Potenciar l'esperit emprenedor
4C,4,Crear llaços amb el teixit empresarial i social per a facilitar la transferència d'innovació i coneixement
5A,5,Millorar la cultura de la internacionalització 
6A,6,Aconseguir l'ampliació de l'edifici
6B,6,Aconseguir una dotació suficient de PAS
6C,6,Disposar d'un quadre de comandament integral
